map_name,Z win versus p,Z win versus T,T win versus Z,T win versus P,P win versus T,P win versus Z,map_balance,총 경기수
블루스톰 1.2,72,72,78,62,62,75,1.70E-04,421
타우크로스,79,73,75,73,68,74,2.10E-04,442
파이썬 1.3,58,63,72,57,52,54,6.50E-04,356
투혼 1.3,142,150,168,152,166,125,7.60E-04,903
써킷브레이커,48,57,69,69,63,49,9.50E-04,355
JR's Memory1.5,38,47,52,35,34,29,0.00172,235
아웃사이더 1.0,42,72,73,41,42,31,0.00189,301
매치포인트 1.3,80,67,78,76,92,65,0.00215,458
Nostalgia,83,110,144,76,68,72,0.00217,553
신 백두대간,106,100,104,79,91,79,0.00222,559
콜로세움2,39,25,33,29,34,42,0.00224,202
히치하이커,44,59,63,34,44,36,0.00228,280
몽환Ⅱ,43,63,54,28,37,38,0.00239,263
Blue Storm,57,70,51,47,53,53,0.00249,331
Luna,126,181,192,99,135,107,0.00261,840
태풍의눈 1.0,43,47,56,44,52,33,0.00269,275
Neo Bifrost,37,38,49,25,31,32,0.00273,212
Python 1.1,78,90,113,71,57,64,0.00289,473
Rivalry,71,69,102,45,46,70,0.00309,403
Lost Temple,228,257,344,167,148,176,0.00339,1320
단장의능선 1.1,86,70,64,65,82,61,0.00369,428
데스티네이션 1.1,176,137,166,145,195,139,0.00375,958
신의정원 1.0,55,42,51,35,26,43,0.00383,252
아테나 1.0,47,37,56,42,36,38,0.00489,256
조디악,67,66,87,45,65,56,0.00502,386
안드로메다,98,74,62,55,72,67,0.00509,428
콜로세움,30,25,38,56,66,24,0.00514,239
R-Point,49,59,98,56,57,43,0.00549,362
트로이,41,42,58,38,55,50,0.00569,284
왕의귀환,51,54,59,68,50,33,0.0059,315
카트리나,51,66,86,53,63,79,0.00596,398
Desert Lost Temple,32,48,39,38,28,21,0.00643,206
롱기누스 2,41,55,83,37,55,38,0.00672,309
Plains To Hill,35,57,61,18,32,30,0.00711,233
Requiem,50,68,90,43,56,32,0.00712,339
Neo Vertigo,40,45,56,21,12,34,0.0077,208
몬티홀,54,78,123,72,88,79,0.00796,494
러시아워3 3.1,83,76,124,66,55,58,0.00812,462
라이드오브발키리,53,55,49,33,40,29,0.00815,259
Plains to Hill (D),30,37,59,31,21,36,0.00816,214
아즈텍,43,34,29,17,33,48,0.00931,204
네오레퀴엠,71,61,61,29,58,74,0.00933,354
메두사 1.1,136,117,76,72,94,85,0.00961,580
신추풍령 2.1,42,36,49,37,25,25,0.01044,214
Neo Jungle Story,84,75,94,52,27,65,0.01073,397
신 개마고원,40,44,78,30,30,24,0.01165,246
815 3,49,41,78,31,47,40,0.01241,286
매치포인트 1.2,66,48,57,46,69,34,0.01248,320
Neo Forte,39,24,54,39,46,48,0.01375,250
Rush HourⅡ,66,66,89,36,51,31,0.01509,339
Blade Storm,45,46,57,21,38,24,0.01555,231
Snowbound,30,43,54,22,41,70,0.02202,260
